类型,名称,仙草,毒草,链接,,,,,,,,
科幻,《诸界末日在线》（校对版全本）作者：烟火成城,498,155,http://www.zxcs.me/post/11970,,,,,,,,
科幻,《两界搬运工》（校对版全本）作者：石闻,497,220,http://www.zxcs.me/post/11112,,,,,,,,
游戏,《全能游戏设计师》（校对版全本）作者：青衫取醉,496,210,http://www.zxcs.me/post/11217,,,,,,,,
科幻,《退后让为师来》（校对版全本）作者：隐语者,488,126,http://www.zxcs.me/post/11839,,,,,,,,
游戏,《苍青之剑》（校对版全本）作者：幽祝,487,97,http://www.zxcs.me/post/12107,,,,,,,,
游戏,《超级卡牌系统》（校对版全本）作者：黑乎乎的老妖,485,325,http://www.zxcs.me/post/11037,,,,,,,,
科幻,《助鬼为乐系统》（校对版全本）作者：左断手,485,133,http://www.zxcs.me/post/11265,,,,,,,,
科幻,《地狱电影院》（校对版全本）作者：黑色火种,484,276,http://www.zxcs.me/post/10994,,,,,,,,
科幻,《绝对交易》（校对版全本）作者：隐语者,484,195,http://www.zxcs.me/post/11184,,,,,,,,
游戏,《暗影神座》（校对版全本）作者：余云飞,480,50,http://www.zxcs.me/post/10136,,,,,,,,
都市,《东京警事》（校对版全本）作者：虫草田十,478,313,http://www.zxcs.me/post/11513,,,,,,,,
科幻,《归向》（校对版全本）作者：核动力战列舰,477,80,http://www.zxcs.me/post/12045,,,,,,,,
游戏,《英雄监狱》（校对版全本）作者：黄华溢,475,268,http://www.zxcs.me/post/11621,,,,,,,,
科幻,《末日边缘》（校对版全本）作者：辰燃,475,129,http://www.zxcs.me/post/10717,,,,,,,,
都市,《宠物天王》（校对版全本）作者：皆破,469,151,http://www.zxcs.me/post/11661,,,,,,,,
科幻,《甲壳狂潮》（校对版全本）作者：金属裂纹,468,161,http://www.zxcs.me/post/11448,,,,,,,,
科幻,《法师网》（校对版全本）作者：星天萤火,468,150,http://www.zxcs.me/post/11930,,,,,,,,
都市,《电影教师》（校对版全本）作者：青城无忌,466,283,http://www.zxcs.me/post/11387,,,,,,,,
游戏,《狩魔领主》（校对版全本）作者：死翼耐萨里奥,462,181,http://www.zxcs.me/post/11708,,,,,,,,
仙侠,《剑徒之路》（校对版全本）作者：惰堕,461,156,http://www.zxcs.me/post/11909,,,,,,,,
科幻,《我的末世基地车》（校对版全本）作者：黑暗荔枝,460,312,http://www.zxcs.me/post/11240,,,,,,,,
游戏,《网游之倒行逆施》（校对版全本）作者：张扬的五月,454,182,http://www.zxcs.me/post/11027,,,,,,,,
仙侠,《剑宗旁门》（校对版全本）作者：愁啊愁,454,108,http://www.zxcs.me/post/12780,,,,,,,,
游戏,《异界那些事儿》（校对版全本）作者：寂寞的化石,453,236,http://www.zxcs.me/post/10884,,,,,,,,
玄幻,《霜寒之翼》（校对版全本）作者：咸鱼公爵,442,171,http://www.zxcs.me/post/11463,,,,,,,,
科幻,《系统的黑科技网吧》（校对版全本）作者：逆水之叶,440,289,http://www.zxcs.me/post/11216,,,,,,,,
玄幻,《黑巫师朱鹏》（校对版全本）作者：狂翻的咸鱼2,439,302,http://www.zxcs.me/post/11357,,,,,,,,
玄幻,《暴风法神》（校对版全本）作者：余云飞,436,138,http://www.zxcs.me/post/11156,,,,,,,,
仙侠,《青帝》（校对版全本）作者：荆柯守,432,113,http://www.zxcs.me/post/10025,,,,,,,,
仙侠,《修神外传》（校对版全本）作者：小段探花,429,352,http://www.zxcs.me/post/10331,,,,,,,,
游戏,《终末之城》（校对版全本）作者：西贝猫,429,107,http://www.zxcs.me/post/10961,,,,,,,,
